Model,Accuracy,AUC,Sensitivity,Specificity,Precision,F1
ResNet-50,0.741 (0.671–0.808),0.879 (0.819–0.934),0.903 (0.800–0.980),0.679 (0.593–0.762),0.515 (0.397–0.630),0.654 (0.547–0.750)
DenseNet-121,0.822 (0.760–0.884),0.923 (0.875–0.961),0.901 (0.805–0.977),0.791 (0.709–0.870),0.620 (0.491–0.737),0.733 (0.626–0.821)
EfficientNet-B0,0.807 (0.740–0.863),0.910 (0.859–0.954),0.922 (0.825–1.000),0.763 (0.682–0.838),0.595 (0.466–0.710),0.721 (0.619–0.817)
MobileNetV2,0.727 (0.651–0.801),0.860 (0.791–0.920),0.830 (0.711–0.943),0.688 (0.596–0.774),0.501 (0.382–0.632),0.623 (0.510–0.732)
Inception-V3,0.780 (0.706–0.843),0.860 (0.794–0.913),0.723 (0.574–0.861),0.802 (0.720–0.873),0.579 (0.444–0.714),0.641 (0.512–0.748)
ViT-B/16,0.650 (0.575–0.733),0.724 (0.637–0.809),0.649 (0.500–0.795),0.651 (0.557–0.740),0.412 (0.300–0.536),0.502 (0.384–0.619)
Swin-Tiny,0.635 (0.562–0.706),0.715 (0.630–0.793),0.724 (0.581–0.857),0.602 (0.505–0.686),0.407 (0.290–0.522),0.518 (0.400–0.625)
