Model,Accuracy_ICC0.3,Accuracy_ICC0.5,Accuracy_ICC0.7,AUC_ICC0.3,AUC_ICC0.5,AUC_ICC0.7,Sensitivity_ICC0.3,Sensitivity_ICC0.5,Sensitivity_ICC0.7,Specificity_ICC0.3,Specificity_ICC0.5,Specificity_ICC0.7,Precision_ICC0.3,Precision_ICC0.5,Precision_ICC0.7,F1_ICC0.3,F1_ICC0.5,F1_ICC0.7
ResNet-50,0.741 (0.661-0.817),0.741 (0.655-0.823),0.741 (0.650-0.828),0.879 (0.811-0.942),0.879 (0.806-0.946),0.879 (0.801-0.951),0.903 (0.786-0.991),0.903 (0.777-0.997),0.903 (0.769-1.000),0.679 (0.581-0.774),0.679 (0.574-0.781),0.679 (0.567-0.787),0.515 (0.380-0.646),0.515 (0.370-0.656),0.515 (0.361-0.665),0.654 (0.532-0.763),0.654 (0.523-0.772),0.654 (0.514-0.779)
DenseNet-121,0.822 (0.751-0.893),0.822 (0.746-0.898),0.822 (0.741-0.903),0.923 (0.868-0.966),0.923 (0.864-0.970),0.923 (0.860-0.973),0.901 (0.792-0.988),0.901 (0.783-0.994),0.901 (0.776-1.000),0.791 (0.698-0.881),0.791 (0.691-0.888),0.791 (0.684-0.894),0.620 (0.473-0.753),0.620 (0.462-0.763),0.620 (0.452-0.773),0.733 (0.611-0.833),0.733 (0.602-0.841),0.733 (0.593-0.848)
EfficientNet-B0,0.807 (0.731-0.871),0.807 (0.725-0.876),0.807 (0.720-0.880),0.910 (0.852-0.960),0.910 (0.848-0.964),0.910 (0.844-0.967),0.922 (0.811-1.000),0.922 (0.803-1.000),0.922 (0.796-1.000),0.763 (0.671-0.849),0.763 (0.664-0.855),0.763 (0.657-0.861),0.595 (0.448-0.726),0.595 (0.437-0.736),0.595 (0.427-0.745),0.721 (0.605-0.830),0.721 (0.596-0.839),0.721 (0.588-0.846)
MobileNetV2,0.727 (0.640-0.811),0.727 (0.634-0.818),0.727 (0.628-0.823),0.860 (0.781-0.928),0.860 (0.775-0.933),0.860 (0.770-0.938),0.830 (0.694-0.959),0.830 (0.684-0.968),0.830 (0.675-0.977),0.688 (0.583-0.786),0.688 (0.575-0.793),0.688 (0.568-0.800),0.501 (0.365-0.650),0.501 (0.355-0.661),0.501 (0.346-0.672),0.623 (0.494-0.747),0.623 (0.485-0.756),0.623 (0.476-0.765)
Inception-V3,0.780 (0.696-0.852),0.780 (0.689-0.857),0.780 (0.684-0.862),0.860 (0.785-0.920),0.860 (0.779-0.925),0.860 (0.774-0.929),0.723 (0.553-0.880),0.723 (0.541-0.892),0.723 (0.529-0.903),0.802 (0.709-0.883),0.802 (0.702-0.889),0.802 (0.695-0.895),0.579 (0.425-0.733),0.579 (0.414-0.744),0.579 (0.403-0.755),0.641 (0.494-0.763),0.641 (0.483-0.772),0.641 (0.473-0.781)
ViT-B/16,0.650 (0.564-0.745),0.650 (0.558-0.752),0.650 (0.552-0.758),0.724 (0.625-0.821),0.724 (0.617-0.828),0.724 (0.611-0.835),0.649 (0.479-0.815),0.649 (0.467-0.828),0.649 (0.455-0.839),0.651 (0.544-0.752),0.651 (0.536-0.760),0.651 (0.528-0.767),0.412 (0.284-0.553),0.412 (0.275-0.564),0.412 (0.266-0.574),0.502 (0.367-0.635),0.502 (0.357-0.645),0.502 (0.348-0.655)
Swin-Tiny,0.635 (0.552-0.716),0.635 (0.546-0.722),0.635 (0.540-0.728),0.715 (0.618-0.804),0.715 (0.611-0.811),0.715 (0.604-0.817),0.724 (0.561-0.876),0.724 (0.549-0.887),0.724 (0.538-0.897),0.602 (0.491-0.698),0.602 (0.483-0.705),0.602 (0.476-0.712),0.407 (0.274-0.538),0.407 (0.264-0.548),0.407 (0.254-0.557),0.518 (0.383-0.640),0.518 (0.373-0.649),0.518 (0.364-0.658)
